MATCH_ID,MAP,TOURNAMENT,TEAM,SIDE,SCORE,RESULT,DURATION,HERO_1,HERO_2,HERO_3,HERO_4,HERO_5
110,3,Intel World Open Beijing,Team Aster,radiant,28,WIN,42:10,Broodmother,Morphling,Queen of Pain,Tidehunter,Weaver
111,1,DPC 2022 Spring Tour - South America Division 1,beastcoast,dire,26,LOSE,42:51,Abaddon,Gyrocopter,Earth Spirit,Kunkka,Snapfire
111,1,DPC 2022 Spring Tour - South America Division 1,Hokori,radiant,28,WIN,42:51,Luna,Queen of Pain,Undying,Shadow Shaman,Tidehunter
111,2,DPC 2022 Spring Tour - South America Division 1,beastcoast,dire,26,WIN,40:07,Naga Siren,Templar Assassin,Sand King,Clockwerk,Shadow Demon
111,2,DPC 2022 Spring Tour - South America Division 1,Hokori,radiant,24,LOSE,40:07,Faceless Void,Puck,Rubick,Broodmother,Death Prophet
111,3,DPC 2022 Spring Tour - South America Division 1,beastcoast,dire,41,WIN,33:36,Underlord,Phantom Lancer,Leshrac,Clockwerk,Shadow Demon
111,3,DPC 2022 Spring Tour - South America Division 1,Hokori,radiant,22,LOSE,33:36,Void Spirit,Grimstroke,Tiny,Broodmother,Ogre Magi
112,1,PGL Dota 2 Major Arlington 2022,Evil Geniuses,radiant,24,WIN,49:14,Lone Druid,Enigma,Tusk,Dawnbreaker,Puck
112,1,PGL Dota 2 Major Arlington 2022,Team Spirit,dire,38,LOSE,49:14,Doom,Zeus,Monkey King,Void Spirit,Dazzle
112,2,PGL Dota 2 Major Arlington 2022,Evil Geniuses,dire,44,WIN,42:07,Spectre,Snapfire,Chen,Viper,Puck
112,2,PGL Dota 2 Major Arlington 2022,Team Spirit,radiant,18,LOSE,42:07,Batrider,Sniper,Clockwerk,Phoenix,Void Spirit
113,1,DPC 2022 Summer Tour - Western Europe Division 1,Alliance,radiant,27,LOSE,50:29,Jakiro,Hoodwink,Faceless Void,Death Prophet,Tiny
113,1,DPC 2022 Summer Tour - Western Europe Division 1,Team Liquid,dire,43,WIN,50:29,Invoker,Lone Druid,Dawnbreaker,Monkey King,Enchantress
